rr,win_rate,edge_pct,risk,funded_risk,ev_per_trade,eval_pass_rate,eval_days_med,p_payout_given_funded,days_to_first_payout,mean_payouts_per_acct,p_reach_live,cash_per_funded_acct,evals_per_payout,fees_to_first_payout,ev_per_eval_$
0.75,0.6267,4.0,150.0,150.0,10.5,0.7844,35.0,0.805,33.5,3.6,0.6322,3259.0,1.6,523.0,2226.0
0.75,0.6206,4.0,250.0,250.0,17.5,0.6414,16.0,0.658,15.7,2.48,0.372,3032.0,2.4,457.0,1752.0
0.75,0.6171,4.0,400.0,400.0,28.0,0.5261,8.0,0.5208,9.8,1.74,0.2557,2465.0,3.6,569.0,1141.0
0.75,0.616,4.0,500.0,200.0,35.0,0.4821,7.0,0.719,21.5,2.89,0.4532,3056.0,2.9,450.0,1318.0
0.75,0.6467,6.0,150.0,150.0,15.75,0.9253,28.0,0.9333,27.0,4.52,0.8722,4146.0,1.2,328.0,3554.0
0.75,0.6406,6.0,250.0,250.0,26.25,0.7956,14.0,0.7927,14.1,3.48,0.617,4375.0,1.6,290.0,3298.0
0.75,0.6371,6.0,400.0,400.0,42.0,0.6579,8.0,0.6577,9.4,2.61,0.448,3774.0,2.3,359.0,2328.0
1.0,0.4933,-2.0,150.0,150.0,-6.0,0.0906,33.0,0.1138,30.4,0.18,0.0015,132.0,97.0,23888.0,-234.0
1.0,0.488,-2.0,250.0,250.0,-10.0,0.153,15.0,0.16,13.7,0.23,0.0013,215.0,40.8,6909.0,-136.0
1.0,0.485,-2.0,400.0,400.0,-16.0,0.203,6.0,0.1462,10.2,0.2,0.0015,285.0,33.7,5195.0,-96.0
1.0,0.5,-0.21,950.0,950.0,-4.0,0.318,4.0,0.215,8.9,0.4,0.0203,606.0,14.6,2238.0,40.0
1.0,0.5133,0.0,150.0,150.0,-0.0,0.2594,34.0,0.307,31.2,0.7,0.0362,623.0,12.6,3546.0,-121.0
1.0,0.508,0.0,250.0,250.0,0.0,0.2619,14.0,0.2875,14.7,0.55,0.0222,623.0,13.3,2333.0,-13.0
1.0,0.505,0.0,400.0,400.0,0.0,0.2836,6.0,0.2203,10.5,0.4,0.022,599.0,16.0,2469.0,16.0
1.0,0.5333,2.0,150.0,150.0,6.0,0.4975,32.0,0.5443,31.4,1.8,0.2175,1772.0,3.7,1083.0,588.0
1.0,0.528,2.0,250.0,250.0,10.0,0.4284,14.0,0.454,14.2,1.27,0.13,1608.0,5.1,915.0,511.0
1.0,0.525,2.0,400.0,400.0,16.0,0.3851,6.0,0.339,10.7,0.91,0.112,1382.0,7.7,1186.0,377.0
1.0,0.5533,4.0,150.0,150.0,12.0,0.736,28.0,0.7522,27.3,3.2,0.54,3296.0,1.8,504.0,2146.0
1.0,0.548,4.0,250.0,250.0,20.0,0.6001,13.0,0.5885,13.6,2.12,0.3155,2824.0,2.8,495.0,1520.0
1.0,0.545,4.0,400.0,400.0,32.0,0.5056,6.0,0.4587,10.3,1.58,0.259,2442.0,4.3,665.0,1081.0
1.0,0.5733,6.0,150.0,150.0,18.0,0.8859,23.0,0.896,22.8,4.22,0.7943,4390.0,1.3,310.0,3643.0
1.0,0.568,6.0,250.0,250.0,30.0,0.7279,12.0,0.744,12.5,3.18,0.5683,4369.0,1.8,315.0,3010.0
1.0,0.565,6.0,400.0,400.0,48.0,0.61,6.0,0.5938,9.6,2.4,0.4363,3731.0,2.8,425.0,2122.0
1.5,0.3907,-2.0,150.0,150.0,-7.5,0.1124,21.0,0.1472,22.0,0.21,0.0018,176.0,60.4,12191.0,-182.0
1.5,0.3864,-2.0,250.0,250.0,-12.5,0.1599,10.0,0.158,11.8,0.23,0.0022,267.0,39.6,6264.0,-116.0
1.5,0.384,-2.0,400.0,400.0,-20.0,0.2095,5.0,0.1435,9.0,0.2,0.002,275.0,33.3,5095.0,-96.0
1.5,0.4107,0.0,150.0,150.0,-0.0,0.2596,23.0,0.299,22.2,0.61,0.0232,599.0,12.9,2838.0,-65.0
1.5,0.4064,0.0,250.0,250.0,-0.0,0.2776,10.0,0.2702,11.4,0.51,0.0213,642.0,13.3,2135.0,18.0
1.5,0.404,0.0,400.0,400.0,0.0,0.2795,5.0,0.205,9.7,0.36,0.015,525.0,17.5,2675.0,-7.0
1.5,0.4307,2.0,150.0,150.0,7.5,0.468,22.0,0.515,21.9,1.59,0.1718,1817.0,4.1,936.0,625.0
1.5,0.4264,2.0,250.0,250.0,12.5,0.4056,10.0,0.4017,11.8,1.05,0.111,1423.0,6.1,981.0,417.0
1.5,0.424,2.0,400.0,400.0,20.0,0.3656,5.0,0.3,9.7,0.81,0.1045,1237.0,9.1,1397.0,299.0
1.5,0.4507,4.0,150.0,150.0,15.0,0.674,20.0,0.6985,19.5,2.71,0.4233,3283.0,2.1,465.0,1994.0
1.5,0.4464,4.0,250.0,250.0,25.0,0.5446,10.0,0.5503,11.0,1.91,0.2898,2675.0,3.3,531.0,1298.0
1.5,0.444,4.0,400.0,400.0,40.0,0.4615,5.0,0.412,9.6,1.44,0.2412,2227.0,5.3,805.0,875.0
1.5,0.4707,6.0,150.0,150.0,22.5,0.8279,17.0,0.8343,17.1,3.75,0.6803,4643.0,1.4,294.0,3641.0
1.5,0.4664,6.0,250.0,250.0,37.5,0.6823,9.0,0.6807,10.2,2.79,0.4948,4007.0,2.2,340.0,2576.0
1.5,0.464,6.0,400.0,400.0,60.0,0.5694,5.0,0.521,9.4,2.12,0.3907,3302.0,3.4,516.0,1727.0
